title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read
Betty,"August 18, 2020",Tiffany McDaniel,Historical Fiction,4.41,"43,275",480,240,English,"3,463",140k
The Undocumented Americans,"March 24, 2020",Karla Cornejo Villavicencio,Nonfiction,4.38,"23,404",208,240,English,"1,574",56.7k
In an Instant,"March 1, 2020",Suzanne Redfearn,Fiction,4.35,"98,655",326,242,English,40.8k,94.3k
Darkmore Penitentiary,"March 29, 2020",Caroline Peckham,Fantasy,4.41,"19,660",562,243,English,"5,057",27.4k
Valentine,"March 31, 2020",Elizabeth Wetmore,Fiction,3.76,"42,624",320,243,English,"4,829",55.1k
Kings of Quarantine,"April 30, 2020",Caroline Peckham,Reverse Harem,4.18,"28,621",658,245,English,"5,885",36.4k
The Burning God,"November 17, 2020",R.F. Kuang,Fantasy,4.3,"1,11,745",622,245,English,"6,676",145k
Wayside School Beneath the Cloud of Doom,"March 3, 2020",Louis Sachar,Middle Grade,4.22,"4,011",186,247,English,409,"5,874"
Twisted Hearts,"January 7, 2020",Cora Reilly,Romance,3.46,"28,418",338,247,English,"1,360",20.8k
"The Creation of Me, Them and Us","January 8, 2020",Heather Marsh,Nonfiction,4.67,36,437,249,English,8,"1,184"
"Wow, No Thank You.: Essays","March 31, 2020",Samantha Irby,Nonfiction,3.82,"46,426",319,250,English,"5,165",78.4k
All Adults Here,"May 4, 2020",Emma Straub,Fiction,3.58,"84,916",356,250,English,"9,714",103k
Poison Throne,"July 13, 2020",Jaymin Eve,Romance,4.12,"7,693",290,252,English,"1,876","2,362"
The 20th Victim,"May 4, 2020",James Patterson,Mystery,4.07,"32,946",432,253,English,11.1k,22.4k
The Extraordinaries,"July 14, 2020",T.J. Klune,Fantasy,4.06,"23,493",405,254,English,"1,400",55k
Chosen,"January 7, 2020",Kiersten White,Fantasy,3.73,"2,884",368,255,English,170,"6,616"
Dear Enemy,"March 31, 2020",Kristen Callihan,Romance,3.91,"32,851",393,256,English,"3,494",34.8k
You Were There Too,"January 7, 2020",Colleen Oakley,Romance,3.88,"12,267",324,257,English,"1,293",22.5k
The Exhibition of Persephone Q,"March 3, 2020",Jessi Jezewska Stevens,Fiction,3.37,712,224,258,English,77,"7,386"
Dead Land,"April 21, 2020",Sara Paretsky,Mystery,4.05,"5,092",416,258,English,"1,681","5,886"
The Hollow Places,"October 6, 2020",T. Kingfisher,Horror,3.8,"42,924",352,258,English,"2,769",102k
The Worst Best Man,"February 4, 2020",Mia Sosa,Romance,3.55,"72,325",359,261,English,"2,812",106k
The Lies That Bind,"June 2, 2020",Emily Giffin,Fiction,3.76,"76,091",352,262,English,"6,226",50.3k
The Other People,"January 23, 2020",C.J. Tudor,Thriller,3.86,"32,807",327,262,English,"1,497",46.7k
The Boy from the Woods,"March 17, 2020",Harlan Coben,Mystery,3.95,"1,05,126",371,262,English,14.6k,85.9k
The Operator,"March 3, 2020",Gretchen Berg,Historical Fiction,3.3,"6,544",368,265,English,902,19.5k
How Quickly She Disappears,"January 1, 2020",Raymond Fleischmann,Mystery,3.19,"2,125",320,265,English,335,"9,211"
Why We're Polarized,"January 28, 2020",Ezra Klein,Politics,4.22,"16,980",336,267,English,"3,831","7,403"
The Constant Rabbit,"July 2, 2020",Jasper Fforde,Fantasy,4.07,"9,705",307,268,English,795,10.1k
Flock,"July 27, 2020",Kate Stewart,Romance,4.12,"2,02,867",366,269,English,30.5k,307k
Layla,"December 8, 2020",Colleen Hoover,Romance,3.64,"5,25,407",305,269,English,45.6k,356k
The Resisters,"February 4, 2020",Gish Jen,Fiction,3.59,"4,105",305,271,English,532,10.2k
Striking Distance,"September 29, 2020",Sarah Rees Brennan,Young Adult,3.88,"4,845",368,272,English,200,"9,377"
The Sentinel,"October 27, 2020",Lee Child,Thriller,3.96,"61,658",353,272,English,17.4k,18.6k
Whistleblower: My Journey to Silicon Valley and Fight for Justice at Uber,"February 18, 2020",Susan Fowler,Nonfiction,4.15,"2,711",272,274,English,215,"5,402"
The Lives of Saints,"October 6, 2020",Leigh Bardugo,Fantasy,3.93,"24,728",121,274,English,817,34.6k
Blacktop Wasteland,"July 14, 2020",S.A. Cosby,Fiction,4.07,"45,314",285,276,English,"6,057",71.6k
A Longer Fall,"January 14, 2020",Charlaine Harris,Fantasy,4.02,"9,479",291,277,English,"1,555",11.2k
Unconquerable Sun,"July 7, 2020",Kate Elliott,Science Fiction,3.92,"2,835",528,277,English,439,12.7k
Magic Lessons,"October 6, 2020",Alice Hoffman,Fantasy,4.22,"61,114",416,279,English,"8,384",97.1k
Fight of the Century: Writers Reflect on 100 Years of Landmark ACLU Cases,"January 21, 2020",Michael Chabon,Nonfiction,4.22,"1,459",336,280,English,328,17.9k
Minor Feelings: An Asian American Reckoning,"February 25, 2020",Cathy Park Hong,Nonfiction,4.2,"41,703",209,281,English,"4,109",75.6k
Uppercut Princess,"February 19, 2020",E.M. Moore,Reverse Harem,4.15,"7,859",368,282,English,"4,319","7,477"
Big Summer,"May 5, 2020",Jennifer Weiner,Fiction,3.59,"1,43,954",368,283,English,17.6k,118k
The Relentless Moon,"July 14, 2020",Mary Robinette Kowal,Science Fiction,4.35,"8,904",544,284,English,584,"9,858"
The Devil and the Dark Water,"October 1, 2020",Stuart Turton,Mystery,3.84,"57,749",463,284,English,"4,963",113k
Code Name Hélène,"March 31, 2020",Ariel Lawhon,Historical Fiction,4.41,"53,344",451,286,English,"6,293",110k
A Stitch in Time,"October 13, 2020",Kelley Armstrong,Romance,4.01,"11,778",378,287,English,"1,586",13.5k
The Atlas Six,"January 31, 2020",Olivie Blake,Fantasy,3.58,"2,38,313",376,288,English,29.1k,680k
Peace Talks,"July 14, 2020",Jim Butcher,Fantasy,4.22,"50,265",340,288,English,"4,275",38.1k
The Tourist Attraction,"May 5, 2020",Sarah Morgenthaler,Romance,3.51,"37,194",352,290,English,"2,979","8,943"
The Survivors,"September 22, 2020",Jane Harper,Mystery,3.76,"1,01,029",384,291,English,"6,029",103k
500 Miles from You,"June 9, 2020",Jenny Colgan,Romance,3.81,"23,847",427,292,English,"1,190",20.6k
Black Knight,"May 18, 2020",Rina Kent,Romance,3.91,"63,813",326,293,English,"4,944",40.2k
Paris Never Leaves You,"August 4, 2020",Ellen Feldman,Historical Fiction,3.67,"3,324",368,294,English,633,11.9k
How the West Stole Democracy from the Arabs: The Destruction of the Syrian Arab Kingdom in 1920 and the Rise of Anti-Liberal Islamism,"January 1, 2020",Elizabeth F. Thompson,History,4.26,195,496,295,English,68,"2,732"
Cleanness,"January 14, 2020",Garth Greenwell,Fiction,3.81,"9,087",240,296,English,903,23.4k
Crowning Soul,"August 9, 2020",Sahira Javaid,Fantasy,2.78,98,635,297,English,7,"1,010"
Introverted Me,"July 24, 2020",Kevin Martz,,4.4,40,404,297,English,13,282
"Mary, Everything","March 29, 2020",Cassandra Yorke,Historical Fiction,4.18,211,413,297,English,52,"3,686"
Wintersteel,"October 6, 2020",Will Wight,Fantasy,4.69,"27,518",540,297,English,"2,241","6,540"
Stories That Bind Us,"June 1, 2020",Susie Finkbeiner,Christian Fiction,4.19,"1,092",384,301,English,62,"4,248"
Writers & Lovers,"March 3, 2020",Lily King,Fiction,4.01,"1,52,760",320,301,English,"8,072",252k
A Princess for Christmas,"October 13, 2020",Jenny Holiday,Christmas,3.58,"8,024",384,303,English,406,15.6k
The Dirty South,"November 3, 2020",John Connolly,Mystery,4.2,"8,837",448,304,English,"2,760","6,954"
The Lucky Ones,"April 7, 2020",Liz Lawson,Young Adult,3.96,"3,941",352,305,English,114,17.4k
Stories of September,"September 22, 2020",Fiona Cole,Anthologies,4.3,"1,113",593,305,English,460,"3,830"
The Life You Stole,"February 20, 2020",Jewel E. Ann,Romance,4.05,"5,435",376,307,English,"1,287","2,599"
Our Malady: Lessons in Liberty from a Hospital Diary,"September 8, 2020",Timothy Snyder,Nonfiction,4.15,"2,055",179,308,English,275,"2,626"
Rules for Dating Your Ex,"September 15, 2020",Piper Rayne,Romance,4.21,"2,773",301,309,English,356,"1,851"
Dance Away with Me,"June 9, 2020",Susan Elizabeth Phillips,Romance,4.04,"12,784",400,309,English,"2,282",12.3k
"A Map Is Only One Story: Twenty Writers on Immigration, Family, and the Meaning of Home","February 11, 2020",Nicole Chung,Nonfiction,4.02,"1,091",252,311,English,95,"9,240"
Kingdom of the Wicked,"October 27, 2020",Kerri Maniscalco,Young Adult,3.88,"3,15,001",372,311,English,12.9k,565k
When We Cease to Understand the World,"January 1, 2020",Benjamín Labatut,Science,4.13,"46,742",192,311,English,"4,733",94.5k
The Tower of Nero,"October 6, 2020",Rick Riordan,Fantasy,4.49,"74,488",416,314,English,"4,640",84.2k
The Mercies,"February 6, 2020",Kiran Millwood Hargrave,Historical Fiction,4.01,"47,399",345,315,English,"2,699",94.5k
Afterlife,"April 7, 2020",Julia Alvarez,Fiction,3.7,"17,144",256,316,English,"2,488",40.4k
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures","May 12, 2020",Merlin Sheldrake,Nonfiction,4.34,"41,871",352,316,English,11.1k,147k
The Deep,"March 10, 2020",Alma Katsu,Horror,3.32,"11,011",432,318,English,884,33k
Troy,"October 29, 2020",Stephen Fry,Mythology,4.35,"34,619",414,318,English,"3,095",53.5k
"Pharma: Greed, Lies, and the Poisoning of America","March 10, 2020",Gerald Posner,Nonfiction,4.19,722,816,320,English,288,"3,939"
A Bad Day for Sunshine,"April 7, 2020",Darynda Jones,Mystery,4.07,"22,998",396,320,English,"1,703",25.2k
False Value,"February 20, 2020",Ben Aaronovitch,Fantasy,4.1,"24,092",349,320,English,"1,468","9,386"
To Sleep in a Sea of Stars,"September 15, 2020",Christopher Paolini,Science Fiction,3.8,"63,945",880,320,English,11k,209k
Protecting What's Mine,"January 16, 2020",Lucy Score,Romance,4.35,"42,161",476,324,English,12.9k,33.2k
Virgin Flyer,"March 2, 2020",Lucy Lennox,M M Romance,4.24,"7,576",262,324,English,"1,072","2,912"
Bound by the Past,"May 20, 2020",Cora Reilly,Romance,3.78,"20,997",335,324,English,"1,582",20.6k
Wolf's Curse,"March 19, 2020",Kelley Armstrong,Young Adult,4.12,"1,913",292,324,English,188,"1,446"
The Magic Fish,"October 13, 2020",Trung Le Nguyen,Graphic Novels,4.5,"27,223",256,328,English,426,38.5k
Under the Rainbow,"March 2, 2020",Celia Laskey,Fiction,3.73,"3,764",286,329,English,114,20.3k
The Best of Me,"November 3, 2020",David Sedaris,Humor,4.21,"24,238",387,329,English,"4,757",28.8k
Fragile Longing,"September 30, 2020",Cora Reilly,Romance,3.48,"18,612",296,331,English,"1,702","9,925"
Murder on Cold Street,"October 6, 2020",Sherry Thomas,Mystery,4.2,"12,688",344,331,English,653,10.6k
The Missing Prince,"September 29, 2020",John Flanagan,Fantasy,4.13,"6,568",304,333,English,510,"5,028"
Magic Forged,"February 28, 2020",K.M. Shea,Fantasy,4.31,"12,778",270,334,English,"2,728",11.7k
Shadow of the Batgirl,"February 4, 2020",Sarah Kuhn,Graphic Novels,4.04,"3,157",208,335,English,31,"3,412"
The Red Lotus,"March 17, 2020",Chris Bohjalian,,3.73,"20,755",400,336,English,"3,521",26.9k
Blackwood,"March 3, 2020",Michael Farris Smith,Horror,3.69,"1,894",305,337,English,123,"5,828"
Shorefall,"April 21, 2020",Robert Jackson Bennett,Fantasy,4.05,"21,139",493,337,English,"1,694",26k
A Life on Our Planet: My Witness Statement and a Vision for the Future,"October 1, 2020","David Attenborough, Jonnie Hughes(Contributor)",Nonfiction,4.5,"31,253",245,337,English,,815
Where Dreams Descend,"August 25, 2020",Janella Angeles,Fantasy,3.65,"9,577",464,340,English,648,63.1k
Fred's Big Feelings: The Life and Legacy of Mister Rogers,"January 14, 2020",Laura Renauld,Picture Books,4.32,632,40,341,English,3,960
After Sundown,"March 31, 2020",Linda Howard,Romance,4.02,"6,301",384,341,English,"1,551","6,634"
The Bone Shard Daughter,"September 8, 2020",Andrea Stewart,Fantasy,4,"32,883",435,343,English,"3,210",147k
The Last Emperox,"April 14, 2020",John Scalzi,Science Fiction,4.13,"29,732",320,344,English,"2,068",13.4k
The Havoc We Wreak,"July 30, 2020",Becca Steele,Romance,4.16,"6,204",306,344,English,"1,678","3,830"
"The Turnaway Study: Ten Years, a Thousand Women, and the Consequences of Having―or Being Denied―an Abortion","June 2, 2020",Diana Greene Foster,Nonfiction,4.58,"3,006",368,344,English,549,10.7k
A Girl Is a Body of Water,"September 1, 2020",Jennifer Nansubuga Makumbi,,4.15,"7,828",560,344,English,982,34.5k
When Stars Are Scattered,"April 14, 2020",Victoria Jamieson,Graphic Novels,4.61,"29,239",,344,English,957,22.1k
The Split,"April 28, 2020",Sharon J. Bolton,Thriller,3.84,"13,397",382,349,English,"1,051",13.5k
Hope in the Mail: Reflections on Writing and Life,"January 14, 2020",Wendelin Van Draanen,Writing,4.39,202,304,350,English,17,521
The Searcher,"October 6, 2020",Tana French,Mystery,3.8,"1,43,241",451,350,English,16k,115k
If I Had Your Face,"April 21, 2020",Frances Cha,Fiction,3.74,"54,811",288,352,English,"3,150",153k
Playboy Princes,"April 16, 2020",Jaymin Eve,Romance,4.26,"9,310",314,352,English,"2,477","2,758"
Battle Ground,"September 29, 2020",Jim Butcher,Fantasy,4.42,"44,433",418,352,English,463,
Breath: The New Science of a Lost Art,"May 26, 2020",James Nestor,Nonfiction,4.15,"97,064",280,355,English,19.1k,"9,003"
"Spy x Family, Vol. 3","January 4, 2020",Tatsuya Endo,Manga,4.51,"40,319",200,355,English,710,"9,550"
Race to the Sun,"January 14, 2020",Rebecca Roanhorse,Fantasy,4.04,"5,795",306,357,English,578,14.2k
The Lies We Tell,"January 20, 2020",Becca Steele,Romance,3.98,"12,599",304,357,English,"4,331",13.6k
Set the Night on Fire: L.A. in the Sixties,"April 14, 2020",Mike Davis,History,4.39,449,1051,359,English,179,"5,759"
"Raphael, Painter in Rome","April 7, 2020",Stephanie Storey,Historical Fiction,4.18,"1,809",320,360,English,550,"9,106"
Reaganland: America's Right Turn 1976-1980,"August 18, 2020",Rick Perlstein,History,4.33,"2,019",1107,361,English,906,"8,519"
Reign of a King,"October 29, 2020",Rina Kent,Romance,4.05,"36,445",280,361,English,"4,820",30.4k
Crazy Stupid Bromance,"October 27, 2020",Lyssa Kay Adams,Romance,3.87,"41,282",345,361,English,745,30.7k
Head Over Heels,"June 23, 2020",Hannah Orenstein,Romance,3.59,"21,447",336,364,English,605,29.3k
Pride of Eden,"March 17, 2020",Taylor Brown,Fiction,3.92,538,304,365,English,44,"4,164"
It Was All a Lie: How the Republican Party Became Donald Trump,"August 4, 2020",Stuart Stevens,Politics,4.13,"3,860",256,366,English,"1,750","4,700"
Forever Wild,"December 1, 2020",K.A. Tucker,Romance,4.24,"41,050",158,366,English,858,31.8k
Me & Patsy Kickin' Up Dust: My Friendship with Patsy Cline,"April 7, 2020",Loretta Lynn,Memoir,4.3,"2,805",240,368,English,287,"3,864"
88 Names,"March 17, 2020",Matt Ruff,Science Fiction,3.41,"2,408",320,368,English,145,"4,305"
Unfinished Business: Notes of a Chronic Re-reader,"February 4, 2020",Vivian Gornick,Nonfiction,3.73,"1,075",176,370,English,146,"4,373"
Barely Functional Adult: It’ll All Make Sense Eventually,"November 24, 2020",Meichi Ng,Graphic Novels,4.16,"2,862",401,371,English,171,15.6k
Pandora's Jar: Women in the Greek Myths,"January 1, 2020",Natalie Haynes,Mythology,4.23,"22,741",320,372,English,"4,194",79.3k
Exodus,"July 31, 2020",Kate Stewart,Romance,4.4,"1,60,706",452,373,English,12.7k,145k
Riot Baby,"January 1, 2020",Tochi Onyebuchi,Fantasy,3.71,"11,391",167,373,English,589,34.4k
What Lies Between Us,"May 15, 2020",John Marrs,Thriller,4.04,"1,42,328",381,375,English,16.4k,234k
Irreversible Damage: The Transgender Craze Seducing Our Daughters,"June 30, 2020",Abigail Shrier,Nonfiction,4.14,"12,324",276,375,English,"2,138",15.7k
The Last of the Moon Girls,"August 1, 2020",Barbara Davis,Fiction,4.2,"78,426",397,377,English,33k,53.1k
BEAST OF NEW CASTLE: The Heart-Pounding Battle To Stop A Savage Killer,"February 7, 2020",Larry Sells,True Crime,3.73,60,256,378,English,116,97
Next to Last Stand,"September 22, 2020",Craig Johnson,Mystery,4.26,"10,729",336,379,English,"2,073","2,874"
Badger to the Bone,"March 31, 2020",Shelly Laurenston,Romance,4.35,"7,722",416,379,English,"1,100","4,926"
28 Summers,"June 16, 2020",Elin Hilderbrand,Romance,4.18,"2,33,092",432,381,English,14.5k,174k
The Left-Handed Booksellers of London,"September 22, 2020",Garth Nix,Fantasy,3.86,"23,377",416,381,English,"1,669",39.2k
Cartier's Hope,"January 28, 2020",M.J. Rose,Historical Fiction,3.67,"1,524",336,383,English,188,"9,599"
Grave,"August 31, 2020",Shantel Tessier,Romance,4.38,"11,327",244,384,English,"1,765",12k
White Ivy,"November 3, 2020",Susie Yang,Fiction,3.55,"32,911",354,385,English,"4,196",54.2k
"Snotgirl, Vol. 3: Is This Real Life?","May 26, 2020",Bryan Lee O'Malley,Graphic Novels,3.79,"3,096",136,386,English,38,"1,373"
The Ministry for the Future,"October 6, 2020",Kim Stanley Robinson,Fiction,3.88,"36,348",563,386,English,"9,941",76.3k
My Maddie,"February 4, 2020",Tillie Cole,Dark,4.45,"5,621",394,388,English,448,10.7k
Bookish and the Beast,"June 16, 2020",Ashley Poston,Romance,3.76,"19,441",288,388,English,393,48.6k
"Hoax: Donald Trump, Fox News, and the Dangerous Distortion of Truth","August 25, 2020",Brian Stelter,Politics,4.07,"3,700",350,388,English,"2,382","4,344"
Postcolonial Love Poem,"March 3, 2020",Natalie Díaz,Poetry,4.33,"7,441",107,391,English,605,17.1k
The Power of Experiments: Decision Making in a Data-Driven World,"February 7, 2020",Michael Luca,Business,3.49,232,232,392,English,78,"1,019"
Take Me Apart,"April 28, 2020",Sara Sligar,Thriller,3.65,"5,150",368,393,English,634,20.1k
Love Your Life,"October 27, 2020",Sophie Kinsella,Romance,3.34,"48,239",416,393,English,"3,526",41.1k
Pretty Little Wife,"December 29, 2020",Darby Kane,Thriller,3.92,"66,455",403,393,English,"2,559",78.1k
Death in Her Hands,"June 23, 2020",Ottessa Moshfegh,Fiction,3.24,"46,806",259,396,English,"3,395",102k
"Fangirl, Vol. 1: The Manga","October 13, 2020",Sam Maggs,Graphic Novels,4.2,"18,264",208,397,English,294,28.2k
Crush the King,"March 17, 2020",Jennifer Estep,Fantasy,4.1,"7,113",416,398,English,575,"7,528"
Happily Ever After & Everything In Between,"June 2, 2020",Debbie Tung,Graphic Novels,4.1,"5,841",147,398,English,172,"7,153"
Craigslist Confessional: A Collection of Secrets from Anonymous Strangers,"July 7, 2020",Helena Dea Bala,Nonfiction,3.64,"2,814",256,398,English,208,12.6k
Half a Soul,"March 29, 2020",Olivia Atwater,Fantasy,4.08,"53,752",304,398,English,"2,815",124k
Beautiful Soldier,"May 29, 2020",E.M. Moore,Reverse Harem,4.35,"4,667",460,402,English,"1,903","1,304"
Musical Chairs,"July 21, 2020",Amy Poeppel,Fiction,3.81,"8,358",416,403,English,762,16.7k
Machiavelli: His Life and Times,"March 19, 2020",Alexander Lee,History,4.18,162,768,403,English,85,903
Saint X,"February 4, 2020",Alexis Schaitkin,Fiction,3.39,"28,440",343,403,English,"2,692",43.3k
A Burning,"June 2, 2020",Megha Majumdar,Fiction,3.73,"51,210",304,403,English,"3,835",99.6k
The Last Voyage of the Andrea Doria: The Sinking of the World's Most Glamorous Ship,"April 7, 2020",Greg King,History,3.94,500,352,407,English,71,"4,728"
His Only Wife,"September 1, 2020",Peace Adzo Medie,Fiction,3.74,"30,934",288,407,English,"2,191",41.4k
Creole Kingpin,"April 10, 2020",Meghan March,Romance,4.15,"6,142",266,409,English,"1,341","4,567"
Recollections of My Nonexistence: A Memoir,"March 10, 2020",Rebecca Solnit,Memoir,4.21,"7,633",256,409,English,988,25k
The Traitor Queen,"September 1, 2020",Danielle L. Jensen,Fantasy,4.23,"1,12,742",352,409,English,"3,734",76.7k
Ruthless Empire,"August 20, 2020",Rina Kent,Romance,4.12,"53,434",386,412,English,"4,741",46.1k
Death in Mud Lick: A True Story of Corporate Pill Pushers in Small Town America,"March 31, 2020",Eric Eyre,Nonfiction,4.07,"2,193",,413,English,380,"5,263"
Race Against Time: A Reporter Reopens the Unsolved Murder Cases of the Civil Rights Era,"February 4, 2020",Jerry Mitchell,Nonfiction,4.43,"1,987",432,414,English,394,"6,421"
The Upside of Falling,"February 18, 2020",Alex Light,Young Adult,3.6,"1,15,423",288,415,English,"5,884",145k
Bach's Musical Universe: The Composer and His Work,"March 24, 2020",Christoph Wolff,Music,3.98,45,432,416,English,39,236
The Sinner,"March 24, 2020",J.R. Ward,Paranormal,4.36,"16,800",498,416,English,"2,984",19.1k
We Are Water Protectors,"March 17, 2020",Carole Lindstrom,Picture Books,4.51,"8,238",40,418,English,104,"6,185"
The Bear,"February 11, 2020",Andrew Krivak,Fiction,3.9,"10,543",224,419,English,495,18.2k
Golden in Death,"February 4, 2020",J.D. Robb,Mystery,4.38,"25,431",387,420,English,"6,747","6,919"
Love Her or Lose Her,"January 14, 2020",Tessa Bailey,Romance,3.62,"81,192",336,421,English,"2,263",83.4k
The Bear King,"January 9, 2020",James Wilde,Historical Fiction,4.12,259,318,422,English,13,211
Before I Called You Mine,"March 1, 2020",Nicole Deese,Romance,4.27,"3,988",368,422,English,348,"8,558"
Last Memoria,"May 10, 2020",Rachel Emma Shaw,Fantasy,3.77,279,315,422,English,18,"1,751"
LOVE OVER CAPPUCCINO,"July 13, 2020",Mansi Modi,,3.88,26,29,422,English,204,
The Road of Resistance Part I,"January 13, 2020",Chase Bolling,Fantasy,4.2,30,350,422,English,25,159
Tipping Point,"September 22, 2020",Michelle Cook,,4.31,51,280,422,English,59,60
Lost in Thought: The Hidden Pleasures of an Intellectual Life,"January 1, 2020",Zena Hitz,Philosophy,3.63,"1,514",240,422,English,436,"5,884"
Alone With You in the Ether,"June 20, 2020",Olivie Blake,Romance,3.8,"91,856",288,422,English,"7,872",331k
Building a Life Worth Living: A Memoir,"January 7, 2020",Marsha M. Linehan,Psychology,4.1,"4,773",384,422,English,"1,246",11.5k
Navigate Your Stars,"April 7, 2020",Jesmyn Ward,Nonfiction,4.19,"3,488",64,431,English,25,13.4k
The Roxy Letters,"April 7, 2020",Mary Pauline Lowry,Fiction,3.32,"2,701",320,431,English,255,14.4k
Shadows in Death,"September 8, 2020",J.D. Robb,Mystery,4.43,"25,078",355,431,English,"5,700","8,380"
Unseen City,"September 29, 2020",Amy Shearn,Fiction,3.89,331,272,431,English,29,909
Swimming in the Dark,"February 6, 2020",Tomasz Jedrowski,Historical Fiction,4.25,"55,738",191,431,English,"2,356",118k
The Girl in White Gloves,"February 25, 2020",Kerri Maher,Historical Fiction,3.7,"2,761",384,436,English,409,11k
Edge of Collapse,"January 31, 2020",Kyla Stone,Post Apocalyptic,4.17,"29,157",318,436,English,12.9k,17.4k
Days of Distraction,"March 31, 2020",Alexandra Chang,Fiction,3.57,"6,357",312,436,English,579,29.2k
Hate Crush,"June 29, 2020",Angelina M. Lopez,Romance,3.75,412,297,436,English,54,839
Tell Me Pretty Lies,"April 5, 2020",Charleigh Rose,Romance,3.89,"8,817",312,436,English,"2,230",10.5k
The War We Make,"November 1, 2020",Chase Bolling,,4.5,16,289,436,English,3,66
You're Not Enough (and That's Ok): Escaping the Toxic Culture of Self-Love,"August 11, 2020",Allie Beth Stuckey,,4.17,"8,716",224,436,English,"1,264",15.6k
The Last Kings of Shanghai: The Rival Jewish Dynasties That Helped Create Modern China,"June 2, 2020",Jonathan Kaufman,History,4.27,"4,201",384,436,English,"2,050","5,794"
The Orphan Collector,"July 28, 2020",Ellen Marie Wiseman,Historical Fiction,4.24,"49,151",390,436,English,"9,490",61.7k
"The Dragons, the Giant, the Women: A Memoir","June 2, 2020",Wayétu Moore,Memoir,4.24,"2,986",250,436,,285,13.1k
The Black Cabinet: The Untold Story of African Americans and Politics During the Age of Roosevelt,"May 12, 2020",Jill Watts,History,4.12,308,560,446,English,146,"3,922"
"The System: Who Rigged It, How We Fix It","March 24, 2020",Robert B. Reich,Politics,4.27,"3,116",206,446,English,855,"8,174"
Kate,"October 31, 2020",Tate James,Reverse Harem,4.37,"42,025",594,446,English,"3,788",15.1k
White Out,"August 1, 2020",Danielle Girard,Thriller,4.06,"13,218",365,449,English,"8,045",10.9k
Whiteout,"January 28, 2020",Adriana Anders,Romance,3.72,"5,080",352,449,English,886,"5,151"
Hands Down,"July 2, 2020",Mariana Zapata,Romance,3.9,"47,347",550,449,English,"4,080",47.4k
Pastoral Song: A Farmer’s Journey,"September 1, 2020",James Rebanks,Nonfiction,4.42,"6,899",304,449,English,581,11.9k
Those Who Wait,"March 31, 2020",Haley Cass,Romance,4.42,"16,930",632,449,English,"2,217",25k
Say Yes to the Duke,"May 19, 2020",Eloisa James,Historical Romance,3.88,"7,652",400,454,English,"1,664","7,666"
Wonderland,"May 28, 2020",Juno Dawson,Young Adult,3.67,"2,849",283,454,English,70,"4,948"
Raybearer,"August 18, 2020",Jordan Ifueko,Fantasy,4.33,"29,388",343,454,English,"1,368",91.5k
When Art Rises,"April 5, 2020",Lorrain Allen,Dark,3.93,"1,142",,457,English,387,"2,047"
Pine,"January 23, 2020",Francine Toon,Horror,3.38,"15,180",288,457,English,631,26.8k
Shackled to the World,"March 3, 2020",Stacey Brutger,Reverse Harem,4.1,"2,091",300,457,English,"1,003",453
Owls of the Eastern Ice: A Quest to Find and Save the World's Largest Owl,"August 4, 2020",Jonathan C. Slaght,Nonfiction,4.18,"5,699",368,457,English,590,15k
Small Things Like These,"November 5, 2021",Claire Keegan,Fiction,4.17,"2,37,056",128,457,English,10.9k,256k
The Morning Star,"September 18, 2020",Karl Ove Knausgård,Fiction,3.94,"13,580",666,457,English,"1,724",23.3k
Afterlives,"September 17, 2020",Abdulrazak Gurnah,Fiction,3.78,"12,206",288,457,English,"1,813",30.9k
"All We Can Save: Truth, Courage, and Solutions for the Climate Crisis","September 22, 2020",Ayana Elizabeth Johnson,Nonfiction,4.44,"5,996",448,464,English,"2,529",26.7k
Two Truths and a Lie,"June 16, 2020",Meg Mitchell Moore,Fiction,3.61,"13,468",400,464,English,"1,272",28.1k
Negative Space,"March 1, 2020",B.R. Yeager,Horror,3.71,"6,551",364,464,English,803,39.5k
Druid Vices and a Vodka,"January 3, 2020",Annette Marie,Urban Fantasy,4.39,"9,429",338,467,English,"1,591","1,842"
So This is Love,"April 7, 2020",Elizabeth Lim,Fantasy,4.08,"16,901",416,467,English,"1,592",46.5k
Lobizona,"August 4, 2020",Romina Garber,Fantasy,4.11,"8,246",400,469,English,438,33k
The Crushing Depths,"June 1, 2020",Dani Pettrey,Christian Fiction,4.32,"2,259",320,469,English,195,"1,503"
How Much of These Hills Is Gold,"April 7, 2020",C Pam Zhang,Historical Fiction,3.79,"25,182",288,469,English,"2,667",59.8k
De beminde,"May 5, 2020",Kiera Cass,Romance,3.06,"45,631",266,469,Dutch; Flemish,"3,643",51.6k
Ghosts,"October 15, 2020",Dolly Alderton,Fiction,3.88,"1,26,445",352,469,English,"4,764",141k
Glass Town: The Imaginary World of the Brontës,"February 6, 2020",Isabel Greenberg,Graphic Novels,3.86,"3,610",220,469,English,84,"8,454"
Boy Parts,"July 23, 2020",Eliza Clark,Fiction,3.75,"62,727",304,469,English,"3,788",196k
The Mermaid of Black Conch,"April 2, 2020",Monique Roffey,Fantasy,3.88,"18,104",187,469,English,868,25.4k
Miss Benson's Beetle,"July 23, 2020",Rachel Joyce,,4.08,"53,941",352,469,English,"4,767",41.1k
